idItem,userId,idFeedback,item,pivote,value,completed,course,nameItem
56,1350,7,56,135056,2,7,118,"¿Cuál es el máximo estudio de la madre?"
57,1350,7,57,135057,2,7,118,"¿Cómo es tu relación con tus amigos(as)?"
58,1350,7,58,135058,2,7,118,"¿Tienes pareja?"
48,1052,7,48,105248,1,8,118,"Selecciona la carrera a la cual perteneces."
49,1052,7,49,105249,3,8,118,"Selecciona el semestre en el que te encuentras"
50,1052,7,50,105250,3,8,118,"¿Con qué género te identificas más?"
51,1052,7,51,105251,2,8,118,"¿En que modalidad te encuentras inscrito?"
52,1052,7,52,105252,4,8,118,"¿Cuál es tu edad actual? "
53,1052,7,53,105253,1,8,118,"¿Cuál es tu estado civil?"
54,1052,7,54,105254,2,8,118,"¿Cuál es tu situación laboral actual?"
55,1052,7,55,105255,1,8,118,"¿Cuál es el máximo grado de estudios del Padre?"
56,1052,7,56,105256,1,8,118,"¿Cuál es el máximo estudio de la madre?"
57,1052,7,57,105257,3,8,118,"¿Cómo es tu relación con tus amigos(as)?"
58,1052,7,58,105258,2,8,118,"¿Tienes pareja?"
81,788,9,81,78881,1,9,75,"Selecciona la carrera a la cual perteneces."
82,788,9,82,78882,5,9,75,"Selecciona el semestre en el que te encuentras"
83,788,9,83,78883,2,9,75,"¿Con qué género te identificas más?"
84,788,9,84,78884,2,9,75,"¿En que modalidad te encuentras inscrito?"
85,788,9,85,78885,1,9,75,"¿Cuál es tu edad actual? "
86,788,9,86,78886,1,9,75,"¿Cuál es tu estado civil?"
87,788,9,87,78887,1,9,75,"¿Cuál es tu situación laboral actual?"
88,788,9,88,78888,2,9,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,788,9,89,78889,2,9,75,"¿Cuál es el máximo estudio de la madre?"
90,788,9,90,78890,3,9,75,"¿Cómo es tu relación con tus amigos(as)?"
91,788,9,91,78891,1,9,75,"¿Tienes pareja?"
48,1050,7,48,105048,1,10,118,"Selecciona la carrera a la cual perteneces."
49,1050,7,49,105049,3,10,118,"Selecciona el semestre en el que te encuentras"
50,1050,7,50,105050,1,10,118,"¿Con qué género te identificas más?"
51,1050,7,51,105051,2,10,118,"¿En que modalidad te encuentras inscrito?"
52,1050,7,52,105052,1,10,118,"¿Cuál es tu edad actual? "
53,1050,7,53,105053,1,10,118,"¿Cuál es tu estado civil?"
54,1050,7,54,105054,2,10,118,"¿Cuál es tu situación laboral actual?"
55,1050,7,55,105055,2,10,118,"¿Cuál es el máximo grado de estudios del Padre?"
56,1050,7,56,105056,2,10,118,"¿Cuál es el máximo estudio de la madre?"
57,1050,7,57,105057,3,10,118,"¿Cómo es tu relación con tus amigos(as)?"
58,1050,7,58,105058,1,10,118,"¿Tienes pareja?"
59,1757,8,59,175759,1,11,132,"Selecciona la carrera a la cual perteneces."
60,1757,8,60,175760,1,11,132,"Selecciona el semestre en el que te encuentras"
61,1757,8,61,175761,1,11,132,"¿Con qué género te identificas más?"
62,1757,8,62,175762,2,11,132,"¿En que modalidad te encuentras inscrito?"
63,1757,8,63,175763,3,11,132,"¿Cuál es tu edad actual? "
64,1757,8,64,175764,2,11,132,"¿Cuál es tu estado civil?"
65,1757,8,65,175765,5,11,132,"¿Cuál es tu situación laboral actual?"
66,1757,8,66,175766,7,11,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1757,8,67,175767,2,11,132,"¿Cuál es el máximo estudio de la madre?"
68,1757,8,68,175768,3,11,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1757,8,69,175769,2,11,132,"¿Tienes pareja?"
59,1756,8,59,175659,1,12,132,"Selecciona la carrera a la cual perteneces."
60,1756,8,60,175660,1,12,132,"Selecciona el semestre en el que te encuentras"
61,1756,8,61,175661,1,12,132,"¿Con qué género te identificas más?"
62,1756,8,62,175662,2,12,132,"¿En que modalidad te encuentras inscrito?"
63,1756,8,63,175663,2,12,132,"¿Cuál es tu edad actual? "
64,1756,8,64,175664,1,12,132,"¿Cuál es tu estado civil?"
65,1756,8,65,175665,2,12,132,"¿Cuál es tu situación laboral actual?"
66,1756,8,66,175666,2,12,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1756,8,67,175667,2,12,132,"¿Cuál es el máximo estudio de la madre?"
68,1756,8,68,175668,3,12,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1756,8,69,175669,2,12,132,"¿Tienes pareja?"
81,761,9,81,76181,1,13,75,"Selecciona la carrera a la cual perteneces."
82,761,9,82,76182,5,13,75,"Selecciona el semestre en el que te encuentras"
83,761,9,83,76183,1,13,75,"¿Con qué género te identificas más?"
84,761,9,84,76184,2,13,75,"¿En que modalidad te encuentras inscrito?"
85,761,9,85,76185,2,13,75,"¿Cuál es tu edad actual? "
86,761,9,86,76186,1,13,75,"¿Cuál es tu estado civil?"
87,761,9,87,76187,2,13,75,"¿Cuál es tu situación laboral actual?"
88,761,9,88,76188,3,13,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,761,9,89,76189,3,13,75,"¿Cuál es el máximo estudio de la madre?"
90,761,9,90,76190,3,13,75,"¿Cómo es tu relación con tus amigos(as)?"
91,761,9,91,76191,1,13,75,"¿Tienes pareja?"
59,1575,8,59,157559,1,14,132,"Selecciona la carrera a la cual perteneces."
60,1575,8,60,157560,1,14,132,"Selecciona el semestre en el que te encuentras"
61,1575,8,61,157561,1,14,132,"¿Con qué género te identificas más?"
62,1575,8,62,157562,2,14,132,"¿En que modalidad te encuentras inscrito?"
63,1575,8,63,157563,1,14,132,"¿Cuál es tu edad actual? "
64,1575,8,64,157564,1,14,132,"¿Cuál es tu estado civil?"
65,1575,8,65,157565,1,14,132,"¿Cuál es tu situación laboral actual?"
66,1575,8,66,157566,2,14,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1575,8,67,157567,7,14,132,"¿Cuál es el máximo estudio de la madre?"
68,1575,8,68,157568,1,14,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1575,8,69,157569,2,14,132,"¿Tienes pareja?"
59,1572,8,59,157259,1,15,132,"Selecciona la carrera a la cual perteneces."
60,1572,8,60,157260,1,15,132,"Selecciona el semestre en el que te encuentras"
61,1572,8,61,157261,1,15,132,"¿Con qué género te identificas más?"
62,1572,8,62,157262,2,15,132,"¿En que modalidad te encuentras inscrito?"
63,1572,8,63,157263,1,15,132,"¿Cuál es tu edad actual? "
64,1572,8,64,157264,1,15,132,"¿Cuál es tu estado civil?"
65,1572,8,65,157265,2,15,132,"¿Cuál es tu situación laboral actual?"
66,1572,8,66,157266,7,15,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1572,8,67,157267,2,15,132,"¿Cuál es el máximo estudio de la madre?"
68,1572,8,68,157268,1,15,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1572,8,69,157269,2,15,132,"¿Tienes pareja?"
59,1594,8,59,159459,1,16,132,"Selecciona la carrera a la cual perteneces."
60,1594,8,60,159460,1,16,132,"Selecciona el semestre en el que te encuentras"
61,1594,8,61,159461,1,16,132,"¿Con qué género te identificas más?"
62,1594,8,62,159462,2,16,132,"¿En que modalidad te encuentras inscrito?"
63,1594,8,63,159463,1,16,132,"¿Cuál es tu edad actual? "
64,1594,8,64,159464,1,16,132,"¿Cuál es tu estado civil?"
65,1594,8,65,159465,5,16,132,"¿Cuál es tu situación laboral actual?"
66,1594,8,66,159466,2,16,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1594,8,67,159467,3,16,132,"¿Cuál es el máximo estudio de la madre?"
68,1594,8,68,159468,3,16,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1594,8,69,159469,2,16,132,"¿Tienes pareja?"
59,1605,8,59,160559,1,17,132,"Selecciona la carrera a la cual perteneces."
60,1605,8,60,160560,1,17,132,"Selecciona el semestre en el que te encuentras"
61,1605,8,61,160561,2,17,132,"¿Con qué género te identificas más?"
62,1605,8,62,160562,2,17,132,"¿En que modalidad te encuentras inscrito?"
63,1605,8,63,160563,2,17,132,"¿Cuál es tu edad actual? "
64,1605,8,64,160564,1,17,132,"¿Cuál es tu estado civil?"
65,1605,8,65,160565,2,17,132,"¿Cuál es tu situación laboral actual?"
66,1605,8,66,160566,1,17,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1605,8,67,160567,1,17,132,"¿Cuál es el máximo estudio de la madre?"
68,1605,8,68,160568,2,17,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1605,8,69,160569,1,17,132,"¿Tienes pareja?"
59,1593,8,59,159359,1,18,132,"Selecciona la carrera a la cual perteneces."
60,1593,8,60,159360,1,18,132,"Selecciona el semestre en el que te encuentras"
61,1593,8,61,159361,2,18,132,"¿Con qué género te identificas más?"
62,1593,8,62,159362,1,18,132,"¿En que modalidad te encuentras inscrito?"
63,1593,8,63,159363,1,18,132,"¿Cuál es tu edad actual? "
64,1593,8,64,159364,1,18,132,"¿Cuál es tu estado civil?"
65,1593,8,65,159365,1,18,132,"¿Cuál es tu situación laboral actual?"
66,1593,8,66,159366,1,18,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1593,8,67,159367,1,18,132,"¿Cuál es el máximo estudio de la madre?"
68,1593,8,68,159368,3,18,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1593,8,69,159369,1,18,132,"¿Tienes pareja?"
59,1570,8,59,157059,1,19,132,"Selecciona la carrera a la cual perteneces."
60,1570,8,60,157060,1,19,132,"Selecciona el semestre en el que te encuentras"
61,1570,8,61,157061,1,19,132,"¿Con qué género te identificas más?"
62,1570,8,62,157062,2,19,132,"¿En que modalidad te encuentras inscrito?"
63,1570,8,63,157063,1,19,132,"¿Cuál es tu edad actual? "
64,1570,8,64,157064,1,19,132,"¿Cuál es tu estado civil?"
65,1570,8,65,157065,2,19,132,"¿Cuál es tu situación laboral actual?"
66,1570,8,66,157066,2,19,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1570,8,67,157067,3,19,132,"¿Cuál es el máximo estudio de la madre?"
68,1570,8,68,157068,3,19,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1570,8,69,157069,2,19,132,"¿Tienes pareja?"
59,1580,8,59,158059,1,20,132,"Selecciona la carrera a la cual perteneces."
60,1580,8,60,158060,1,20,132,"Selecciona el semestre en el que te encuentras"
61,1580,8,61,158061,1,20,132,"¿Con qué género te identificas más?"
62,1580,8,62,158062,2,20,132,"¿En que modalidad te encuentras inscrito?"
63,1580,8,63,158063,1,20,132,"¿Cuál es tu edad actual? "
64,1580,8,64,158064,1,20,132,"¿Cuál es tu estado civil?"
65,1580,8,65,158065,2,20,132,"¿Cuál es tu situación laboral actual?"
66,1580,8,66,158066,7,20,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1580,8,67,158067,2,20,132,"¿Cuál es el máximo estudio de la madre?"
68,1580,8,68,158068,3,20,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1580,8,69,158069,2,20,132,"¿Tienes pareja?"
59,1595,8,59,159559,1,21,132,"Selecciona la carrera a la cual perteneces."
60,1595,8,60,159560,1,21,132,"Selecciona el semestre en el que te encuentras"
61,1595,8,61,159561,1,21,132,"¿Con qué género te identificas más?"
62,1595,8,62,159562,2,21,132,"¿En que modalidad te encuentras inscrito?"
63,1595,8,63,159563,4,21,132,"¿Cuál es tu edad actual? "
64,1595,8,64,159564,1,21,132,"¿Cuál es tu estado civil?"
65,1595,8,65,159565,2,21,132,"¿Cuál es tu situación laboral actual?"
66,1595,8,66,159566,4,21,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1595,8,67,159567,5,21,132,"¿Cuál es el máximo estudio de la madre?"
68,1595,8,68,159568,1,21,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1595,8,69,159569,1,21,132,"¿Tienes pareja?"
81,762,9,81,76281,1,22,75,"Selecciona la carrera a la cual perteneces."
82,762,9,82,76282,5,22,75,"Selecciona el semestre en el que te encuentras"
83,762,9,83,76283,2,22,75,"¿Con qué género te identificas más?"
84,762,9,84,76284,1,22,75,"¿En que modalidad te encuentras inscrito?"
85,762,9,85,76285,3,22,75,"¿Cuál es tu edad actual? "
86,762,9,86,76286,1,22,75,"¿Cuál es tu estado civil?"
87,762,9,87,76287,2,22,75,"¿Cuál es tu situación laboral actual?"
88,762,9,88,76288,2,22,75,"¿Cuál es el máximo grado de estudios del Padre?"
89,762,9,89,76289,2,22,75,"¿Cuál es el máximo estudio de la madre?"
90,762,9,90,76290,1,22,75,"¿Cómo es tu relación con tus amigos(as)?"
91,762,9,91,76291,1,22,75,"¿Tienes pareja?"
59,1350,8,59,135059,1,23,132,"Selecciona la carrera a la cual perteneces."
60,1350,8,60,135060,3,23,132,"Selecciona el semestre en el que te encuentras"
61,1350,8,61,135061,2,23,132,"¿Con qué género te identificas más?"
62,1350,8,62,135062,2,23,132,"¿En que modalidad te encuentras inscrito?"
63,1350,8,63,135063,1,23,132,"¿Cuál es tu edad actual? "
64,1350,8,64,135064,1,23,132,"¿Cuál es tu estado civil?"
65,1350,8,65,135065,1,23,132,"¿Cuál es tu situación laboral actual?"
66,1350,8,66,135066,2,23,132,"¿Cuál es el máximo grado de estudios del Padre?"
67,1350,8,67,135067,2,23,132,"¿Cuál es el máximo estudio de la madre?"
68,1350,8,68,135068,2,23,132,"¿Cómo es tu relación con tus amigos(as)?"
69,1350,8,69,135069,2,23,132,"¿Tienes pareja?"
59,1789,8,59,178959,1,24,132,"Selecciona la carrera a la cual perteneces."
60,1789,8,60,178960,1,24,132,"Selecciona el semestre en el que te encuentras"
61,1789,8,61,178961,1,24,132,"¿Con qué género te identificas más?"
